iter	Passed	Remaining
398	109856	440800
399	110154	440618
400	110463	440475
401	110717	440116
402	110970	439751
403	111231	439421
404	111468	438992
405	111812	438986
406	112046	438552
407	112326	438294
408	112568	437887
409	112855	437658
410	113168	437529
411	113463	437329
412	113698	436900
413	114037	436869
414	114338	436690
415	114651	436557
416	115038	436706
417	115298	436367
418	115649	436377
419	115924	436096
420	116203	435833
421	116470	435523
422	116672	434970
423	116963	434752
424	117210	434368
425	117498	434136
426	117735	433718
427	117992	433373
428	118303	433229
429	118603	433040
430	118860	432695
431	119147	432460
432	119381	432033
433	119624	431639
434	119925	431456
435	120144	430975
436	120372	430531
437	120609	430118
438	120900	429898
439	121127	429452
440	121434	429290
441	121689	428940
442	121919	428507
443	122147	428065
444	122430	427819
445	122701	427531
446	122971	427238
447	123233	426914
448	123443	426417
449	123755	426269
450	124001	425893
451	124293	425676
452	124489	425131
453	124771	424881
454	125024	424532
455	125290	424228
456	125568	423964
457	125837	423670
458	126118	423419
459	126395	423149
460	126790	423277
461	127090	423083
462	127383	422868
463	127719	422794
464	127981	422475
465	128268	422238
466	128526	421907
467	128866	421846
468	129150	421596
469	129445	421387
470	129681	420982
471	129983	420794
472	130243	420470
473	130520	420199
474	130729	419711
475	131055	419597
476	131317	419279
477	131549	418867
478	131755	418371
479	132001	418004
480	132254	417660
481	132591	417579
482	132913	417453
483	133249	417368
484	133557	417195
485	133887	417090
486	134269	417145
487	134585	416994
488	134828	416616
489	135137	416444
490	135437	416241
491	135711	415960
492	135936	415530
493	136187	415178
494	136428	414797
495	136702	414518
496	137028	414392
497	137327	414189
498	137589	413872
499	137881	413643
500	138189	413464
501	138493	413272
502	138779	413028
503	139009	412614
504	139305	412399
505	139601	412182
506	139866	411875
507	140151	411624
508	140414	411313
509	140729	411149
510	140977	410792
511	141307	410675
512	141667	410641
513	141937	410349
514	142224	410104
515	142502	409833
516	142793	409598
517	143020	409182
518	143335	409018
519	143681	408939
520	143973	408708
521	144206	408308
522	144433	407892
523	144730	407674
524	145036	407482
525	145356	407329
526	145637	407067
527	145938	406859
528	146235	406638
529	146500	406330
530	146818	406169
531	147080	405853
532	147311	405451
533	147535	405030
534	147792	404703
535	148128	404589
536	148374	404231
537	148651	403956
538	148937	403705
539	149292	403643
540	149565	403355
541	149894	403221
542	150179	402967
543	150419	402593
544	150709	402353
545	150984	402072
546	151304	401910
547	151624	401750
548	151923	401532
549	152203	401265
550	152523	401100
551	152831	400906
552	153120	400660
553	153434	400480
554	153735	400267
555	154016	399999
556	154279	399686
557	154501	399268
558	154708	398811
559	154965	398481
560	155213	398133
561	155454	397764
562	155704	397420
563	155941	397042
564	156158	396616
565	156404	396261
566	156695	396023
567	156942	395672
568	157243	395457
569	157543	395239
570	157803	394922
571	158048	394567
572	158390	394456
573	158636	394105
574	158921	393849
575	159196	393570
576	159428	393182
577	159664	392808
578	159861	392336
579	160102	391974
580	160409	391773
581	160700	391533
582	160989	391290
583	161357	391237
584	161638	390972
585	161948	390777
586	162198	390436
587	162448	390096
588	162735	389846
589	162997	389535
590	163226	389147
591	163432	388704
592	163701	388411
593	163886	387920
594	164183	387693
595	164457	387412
596	164787	387264
597	165022	386893
598	165235	386470
599	165477	386115
600	165828	386012
601	166081	385685
602	166300	385275
603	166558	384958
604	166804	384615
605	167027	384218
606	167271	383870
607	167545	383591
608	167811	383292
609	168065	382968
610	168338	382687
611	168540	382246
612	168735	381788
613	168967	381414
614	169224	381098
615	169523	380876
616	169821	380652
617	170059	380294
618	170277	379891
619	170535	379579
620	170817	379319
621	171050	378950
622	171368	378772
623	171612	378427
624	171801	377963
625	172061	377655
626	172341	377391
627	172565	377006
628	172816	376680
629	173082	376386
630	173314	376017
631	173615	375800
632	173838	375414
633	174043	374988
634	174341	374764
635	174608	374475
636	174913	374265
637	175139	373886
638	175377	373534
639	175727	373421
640	175976	373091
641	176284	372888
642	176549	372593
643	176854	372383
644	177112	372072
645	177336	371693
646	177572	371337
647	178326	372064
648	178909	372429
649	179329	372453
650	179640	372250
651	179913	371969
652	180195	371705
653	180438	371361
654	180692	371041
655	180988	370806
656	181255	370510
657	181525	370224
658	181840	370027
659	182146	369813
660	182461	369616
661	182765	369396
662	183013	369063
663	183273	368755
664	183502	368385
665	183804	368160
666	184037	367798
667	184341	367580
668	184621	367310
669	184833	366908
670	185091	366597
671	185319	366226
672	185559	365879
673	185829	365594
674	186139	365384
675	186428	365135
676	186731	364913
677	187087	364792
678	187280	364355
679	187480	363932
680	187681	363512
681	187996	363313
682	188272	363038
683	188512	362694
684	188767	362377
685	189071	362156
686	189362	361910
687	189600	361564
688	189926	361384
689	190244	361188
690	190491	360858
691	190898	360831
692	191182	360571
693	191439	360258
694	191675	359909
695	191945	359621
696	192239	359380
697	192505	359085
698	192740	358733
699	193007	358441
700	193308	358213
701	193545	357865
702	193856	357655
703	194091	357305
704	194373	357039
705	194610	356694
706	194814	356287
707	195054	355947
708	195299	355615
709	195536	355269
710	195748	354880
711	196001	354564
712	196220	354187
713	196476	353877
714	196792	353676
715	197049	353368
716	197295	353040
717	197504	352647
718	197710	352249
719	197941	351895
720	198163	351527
721	198441	351257
722	198682	350922
723	198945	350627
724	199165	350257
725	199401	349914
726	199601	349507
727	199851	349191
728	200044	348773
729	200280	348433
730	200510	348082
731	200723	347700
732	200965	347370
733	201256	347126
734	201453	346719
735	201758	346498
736	202038	346233
737	202276	345898
738	202566	345651
739	202790	345292
740	202976	344868
741	203244	344584
742	203490	344263
743	203765	343991
744	204050	343735
745	204264	343360
746	204474	342981
747	204701	342628
748	204959	342328
749	205185	341975
750	205384	341577
751	205634	341265
752	205857	340909
753	206177	340712
754	206478	340484
755	206754	340214
756	206988	339875
757	207220	339534
758	207463	339212
759	207713	338900
760	207954	338574
761	208211	338275
762	208466	337971
763	208751	337718
764	209024	337445
765	209332	337227
766	209595	336938
767	209823	336591
768	210110	336341
769	210405	336102
770	210669	335814
771	210953	335557
772	211195	335235
773	211409	334867
774	211651	334545
775	211884	334209
776	212100	333846
777	212413	333636
778	212662	333325
779	212849	332919
780	213086	332589
781	213306	332234
782	213511	331856
783	213770	331562
784	214040	331285
785	214284	330968
786	214547	330680
787	214775	330340
788	215039	330054
789	215343	329830
790	215607	329544
791	215813	329170
792	216059	328857
793	216353	328618
794	216576	328269
795	216877	328040
796	217114	327714
797	217374	327423
798	217664	327177
799	217937	326906
800	218169	326572
801	218445	326306
802	218693	325998
803	218959	325716
804	219146	325316
805	219375	324980
806	219651	324713
807	219915	324429
808	220200	324176
809	220466	323895
810	220694	323558
811	220963	323280
812	221181	322930
813	221402	322583
814	221687	322331
815	221909	321986
816	222191	321729
817	222476	321475
818	222753	321210
819	222960	320845
820	223202	320531
821	223498	320293
822	223744	319984
823	224020	319718
824	224292	319447
825	224541	319142
826	224763	318799
827	224995	318471
828	225266	318199
829	225557	317954
830	225856	317720
831	226154	317486
832	226375	317142
833	226628	316844
834	226891	316561
835	227143	316262
836	227388	315952
837	227659	315680
838	227956	315443
839	228267	315226
840	228605	315045
841	228880	314778
842	229114	314455
843	229419	314228
844	229724	314002
845	230070	313831
846	230351	313571
847	230581	313242
848	230818	312923
849	231061	312612
850	231342	312353
851	231568	312019
852	231827	311729
853	232124	311492
854	232326	311127
855	232590	310845
856	232836	310538
857	233075	310223
858	233310	309903
859	233513	309541
860	233770	309250
861	234121	309084
862	234379	308794
863	234609	308468
864	234923	308252
865	235196	307982
866	235427	307658
867	235663	307339
868	235906	307031
869	236147	306720
870	236408	306435
871	236701	306192
872	236920	305852
873	237187	305575
874	237434	305273
875	237696	304989
876	238010	304773
877	238337	304572
878	238582	304267
879	238824	303958
880	239104	303698
881	239416	303477
882	239699	303221
883	239920	302886
884	240105	302506
885	240356	302209
886	240640	301953
887	240905	301674
888	241131	301347
889	241386	301054
890	241691	300825
891	241990	300588
892	242262	300318
893	242534	300047
894	242763	299724
895	243039	299459
896	243356	299244
897	243625	298970
898	243865	298660
899	244126	298376
900	244385	298090
901	244580	297726
902	244816	297413
903	245060	297109
904	245312	296813
905	245606	296571
906	245874	296295
907	246171	296056
908	246500	295855
909	246753	295561
910	246977	295234
911	247242	294955
912	247577	294761
913	247824	294461
914	248028	294110
915	248288	293826
916	248539	293531
917	248818	293270
918	249105	293017
919	249342	292706
920	249640	292467
921	249908	292192
922	250198	291943
923	250519	291730
924	250789	291458
925	251029	291151
926	251264	290838
927	251486	290509
928	251749	290230
929	252059	290004
930	252336	289739
931	252616	289479
932	252893	289214
933	253187	288970
934	253457	288697
935	253679	288370
936	253887	288027
937	254160	287759
938	254385	287437
939	254665	287176
940	254945	286915
941	255258	286691
942	255503	286391
943	255767	286113
944	256131	285945
945	256436	285712
946	256729	285466
947	257041	285240
948	257279	284932
949	257527	284635
950	257808	284376
951	258067	284091
952	258323	283803
953	258653	283597
954	258906	283306
955	259134	282988
956	259400	282711
957	259657	282425
958	259992	282222
959	260308	282000
960	260629	281783
961	260935	281549
962	261230	281303
963	261566	281102
964	261903	280901
965	262272	280734
966	262521	280438
967	262818	280195
968	263032	279862
969	263268	279552
970	263517	279258
971	263794	278992
972	264003	278655
973	264283	278392
974	264622	278193
975	264908	277937
976	265166	277651
977	265466	277409
978	265824	277228
979	266095	276956
980	266315	276631
981	266564	276337
982	266833	276062
983	267162	275850
984	267440	275586
985	267730	275332
986	267984	275043
987	268309	274826
988	268552	274526
989	268868	274299
990	269184	274074
991	269527	273874
992	269838	273642
993	270164	273425
994	270421	273138
995	270686	272860
996	270964	272595
997	271258	272345
998	271543	272087
999	271866	271866
1000	272112	271568
1001	272354	271267
1002	272567	270936
1003	272831	270657
1004	273056	270339
1005	273326	270066
1006	273576	269772
1007	273815	269469
1008	274092	269202
1009	274346	268914
1010	274571	268596
1011	274792	268275
1012	275048	267989
1013	275341	267737
1014	275619	267473
1015	275845	267157
1016	276144	266912
1017	276351	266578
1018	276567	266253
1019	276825	265969
1020	277127	265727
1021	277466	265520
1022	277732	265244
1023	277999	264968
1024	278275	264700
1025	278524	264408
1026	278785	264127
1027	279053	263852
1028	279374	263627
1029	279630	263341
1030	279893	263062
1031	280190	262814
1032	280445	262527
1033	280721	262259
1034	280941	261940
1035	281221	261677
1036	281502	261414
1037	281805	261172
1038	282042	260868
1039	282281	260567
1040	282527	260273
1041	282770	259975
1042	283032	259694
1043	283324	259442
1044	283657	259227
1045	283941	258967
1046	284232	258714
1047	284449	258393
1048	284750	258148
1049	285028	257883
1050	285279	257593
1051	285519	257293
1052	285751	256986
1053	285974	256671
1054	286164	256327
1055	286437	256057
1056	286746	255819
1057	286939	255478
1058	287202	255200
1059	287443	254902
1060	287727	254643
1061	287969	254345
1062	288219	254056
1063	288490	253785
1064	288734	253489
1065	289007	253220
1066	289206	252886
1067	289545	252674
1068	289791	252381
1069	290052	252101
1070	290375	251875
1071	290618	251580
1072	290893	251312
1073	291148	251027
1074	291396	250736
1075	291709	250501
1076	291943	250198
1077	292258	249965
1078	292475	249648
1079	292714	249349
1080	292959	249055
1081	293184	248746
1082	293437	248459
1083	293724	248202
1084	293980	247919
1085	294216	247618
1086	294442	247310
1087	294714	247040
1088	294973	246759
1089	295240	246485
1090	295575	246267
1091	295858	246006
1092	296262	245846
1093	296586	245619
1094	296890	245375
1095	297275	245198
1096	297572	244948
1097	297910	244731
1098	298225	244496
1099	298564	244280
1100	298999	244142
1101	299445	244012
1102	299812	243818
1103	300147	243597
1104	300510	243399
1105	300893	243217
1106	301211	242982
1107	301583	242790
1108	301921	242571
1109	302203	242307
1110	302606	242139
1111	302948	241922
1112	303242	241667
1113	303489	241375
1114	303765	241105
1115	304029	240826
1116	304295	240548
1117	304583	240288
1118	304822	239990
1119	305119	239736
1120	305400	239471
1121	305670	239196
1122	305940	238922
1123	306197	238638
1124	306478	238372
1125	306733	238086
1126	307037	237838
1127	307324	237577
1128	307604	237310
1129	307800	236978
1130	308073	236707
1131	308356	236442
1132	308591	236141
1133	308865	235871
1134	309127	235590
1135	309416	235330
1136	309668	235043
1137	309870	234717
1138	310097	234411
1139	310345	234120
1140	310590	233827
1141	310851	233546
1142	311075	233238
1143	311310	232938
1144	311556	232647
1145	311849	232390
1146	312129	232124
1147	312451	231889
1148	312760	231643
